,fold,kinship,image1,image2,kinship_type
0,1,1,father-dau/fd_024_1.jpg,father-dau/fd_024_2.jpg,father-dau
1,1,1,father-dau/fd_092_1.jpg,father-dau/fd_092_2.jpg,father-dau
2,1,1,father-dau/fd_124_1.jpg,father-dau/fd_124_2.jpg,father-dau
3,1,1,father-dau/fd_031_1.jpg,father-dau/fd_031_2.jpg,father-dau
4,1,1,father-dau/fd_008_1.jpg,father-dau/fd_008_2.jpg,father-dau
5,1,1,father-dau/fd_042_1.jpg,father-dau/fd_042_2.jpg,father-dau
6,1,1,father-dau/fd_120_1.jpg,father-dau/fd_120_2.jpg,father-dau
7,1,1,father-dau/fd_021_1.jpg,father-dau/fd_021_2.jpg,father-dau
8,1,1,father-dau/fd_118_1.jpg,father-dau/fd_118_2.jpg,father-dau
9,1,1,father-dau/fd_099_1.jpg,father-dau/fd_099_2.jpg,father-dau
10,1,1,father-dau/fd_091_1.jpg,father-dau/fd_091_2.jpg,father-dau
11,1,1,father-dau/fd_025_1.jpg,father-dau/fd_025_2.jpg,father-dau
12,1,1,father-dau/fd_055_1.jpg,father-dau/fd_055_2.jpg,father-dau
13,1,1,father-dau/fd_085_1.jpg,father-dau/fd_085_2.jpg,father-dau
14,1,1,father-dau/fd_015_1.jpg,father-dau/fd_015_2.jpg,father-dau
15,1,1,father-dau/fd_050_1.jpg,father-dau/fd_050_2.jpg,father-dau
16,1,1,father-dau/fd_051_1.jpg,father-dau/fd_051_2.jpg,father-dau
17,1,1,father-dau/fd_027_1.jpg,father-dau/fd_027_2.jpg,father-dau
18,1,1,father-dau/fd_030_1.jpg,father-dau/fd_030_2.jpg,father-dau
19,1,1,father-dau/fd_094_1.jpg,father-dau/fd_094_2.jpg,father-dau
20,1,1,father-dau/fd_039_1.jpg,father-dau/fd_039_2.jpg,father-dau
21,1,1,father-dau/fd_026_1.jpg,father-dau/fd_026_2.jpg,father-dau
22,1,1,father-dau/fd_111_1.jpg,father-dau/fd_111_2.jpg,father-dau
23,1,1,father-dau/fd_131_1.jpg,father-dau/fd_131_2.jpg,father-dau
24,1,1,father-dau/fd_106_1.jpg,father-dau/fd_106_2.jpg,father-dau
25,1,1,father-dau/fd_002_1.jpg,father-dau/fd_002_2.jpg,father-dau
26,1,1,father-dau/fd_088_1.jpg,father-dau/fd_088_2.jpg,father-dau
27,1,0,father-dau/fd_094_1.jpg,father-dau/fd_025_2.jpg,father-dau
28,1,0,father-dau/fd_039_1.jpg,father-dau/fd_021_2.jpg,father-dau
29,1,0,father-dau/fd_025_1.jpg,father-dau/fd_002_2.jpg,father-dau
30,1,0,father-dau/fd_030_1.jpg,father-dau/fd_042_2.jpg,father-dau
31,1,0,father-dau/fd_111_1.jpg,father-dau/fd_051_2.jpg,father-dau
32,1,0,father-dau/fd_091_1.jpg,father-dau/fd_050_2.jpg,father-dau
33,1,0,father-dau/fd_055_1.jpg,father-dau/fd_092_2.jpg,father-dau
34,1,0,father-dau/fd_024_1.jpg,father-dau/fd_118_2.jpg,father-dau
35,1,0,father-dau/fd_024_1.jpg,father-dau/fd_091_2.jpg,father-dau
36,1,0,father-dau/fd_030_1.jpg,father-dau/fd_124_2.jpg,father-dau
37,1,0,father-dau/fd_024_1.jpg,father-dau/fd_051_2.jpg,father-dau
38,1,0,father-dau/fd_051_1.jpg,father-dau/fd_024_2.jpg,father-dau
39,1,0,father-dau/fd_024_1.jpg,father-dau/fd_042_2.jpg,father-dau
40,1,0,father-dau/fd_050_1.jpg,father-dau/fd_092_2.jpg,father-dau
41,1,0,father-dau/fd_099_1.jpg,father-dau/fd_027_2.jpg,father-dau
42,1,0,father-dau/fd_124_1.jpg,father-dau/fd_055_2.jpg,father-dau
43,1,0,father-dau/fd_008_1.jpg,father-dau/fd_030_2.jpg,father-dau
44,1,0,father-dau/fd_031_1.jpg,father-dau/fd_055_2.jpg,father-dau
45,1,0,father-dau/fd_094_1.jpg,father-dau/fd_106_2.jpg,father-dau
46,1,0,father-dau/fd_131_1.jpg,father-dau/fd_120_2.jpg,father-dau
47,1,0,father-dau/fd_026_1.jpg,father-dau/fd_106_2.jpg,father-dau
48,1,0,father-dau/fd_027_1.jpg,father-dau/fd_042_2.jpg,father-dau
49,1,0,father-dau/fd_111_1.jpg,father-dau/fd_008_2.jpg,father-dau
50,1,0,father-dau/fd_008_1.jpg,father-dau/fd_088_2.jpg,father-dau
51,1,0,father-dau/fd_091_1.jpg,father-dau/fd_050_2.jpg,father-dau
52,1,0,father-dau/fd_055_1.jpg,father-dau/fd_131_2.jpg,father-dau
53,1,0,father-dau/fd_002_1.jpg,father-dau/fd_021_2.jpg,father-dau
54,2,1,father-dau/fd_087_1.jpg,father-dau/fd_087_2.jpg,father-dau
55,2,1,father-dau/fd_029_1.jpg,father-dau/fd_029_2.jpg,father-dau
56,2,1,father-dau/fd_097_1.jpg,father-dau/fd_097_2.jpg,father-dau
57,2,1,father-dau/fd_068_1.jpg,father-dau/fd_068_2.jpg,father-dau
58,2,1,father-dau/fd_095_1.jpg,father-dau/fd_095_2.jpg,father-dau
59,2,1,father-dau/fd_053_1.jpg,father-dau/fd_053_2.jpg,father-dau
60,2,1,father-dau/fd_049_1.jpg,father-dau/fd_049_2.jpg,father-dau
61,2,1,father-dau/fd_122_1.jpg,father-dau/fd_122_2.jpg,father-dau
62,2,1,father-dau/fd_072_1.jpg,father-dau/fd_072_2.jpg,father-dau
63,2,1,father-dau/fd_133_1.jpg,father-dau/fd_133_2.jpg,father-dau
64,2,1,father-dau/fd_104_1.jpg,father-dau/fd_104_2.jpg,father-dau
65,2,1,father-dau/fd_069_1.jpg,father-dau/fd_069_2.jpg,father-dau
66,2,1,father-dau/fd_067_1.jpg,father-dau/fd_067_2.jpg,father-dau
67,2,1,father-dau/fd_022_1.jpg,father-dau/fd_022_2.jpg,father-dau
68,2,1,father-dau/fd_075_1.jpg,father-dau/fd_075_2.jpg,father-dau
69,2,1,father-dau/fd_057_1.jpg,father-dau/fd_057_2.jpg,father-dau
70,2,1,father-dau/fd_044_1.jpg,father-dau/fd_044_2.jpg,father-dau
71,2,1,father-dau/fd_112_1.jpg,father-dau/fd_112_2.jpg,father-dau
72,2,1,father-dau/fd_016_1.jpg,father-dau/fd_016_2.jpg,father-dau
73,2,1,father-dau/fd_019_1.jpg,father-dau/fd_019_2.jpg,father-dau
74,2,1,father-dau/fd_121_1.jpg,father-dau/fd_121_2.jpg,father-dau
75,2,1,father-dau/fd_036_1.jpg,father-dau/fd_036_2.jpg,father-dau
76,2,1,father-dau/fd_102_1.jpg,father-dau/fd_102_2.jpg,father-dau
77,2,1,father-dau/fd_048_1.jpg,father-dau/fd_048_2.jpg,father-dau
78,2,1,father-dau/fd_105_1.jpg,father-dau/fd_105_2.jpg,father-dau
79,2,1,father-dau/fd_129_1.jpg,father-dau/fd_129_2.jpg,father-dau
80,2,1,father-dau/fd_010_1.jpg,father-dau/fd_010_2.jpg,father-dau
81,2,0,father-dau/fd_095_1.jpg,father-dau/fd_048_2.jpg,father-dau
82,2,0,father-dau/fd_049_1.jpg,father-dau/fd_112_2.jpg,father-dau
83,2,0,father-dau/fd_010_1.jpg,father-dau/fd_112_2.jpg,father-dau
84,2,0,father-dau/fd_048_1.jpg,father-dau/fd_087_2.jpg,father-dau
85,2,0,father-dau/fd_068_1.jpg,father-dau/fd_102_2.jpg,father-dau
86,2,0,father-dau/fd_069_1.jpg,father-dau/fd_105_2.jpg,father-dau
87,2,0,father-dau/fd_133_1.jpg,father-dau/fd_095_2.jpg,father-dau
88,2,0,father-dau/fd_069_1.jpg,father-dau/fd_048_2.jpg,father-dau
89,2,0,father-dau/fd_022_1.jpg,father-dau/fd_102_2.jpg,father-dau
90,2,0,father-dau/fd_105_1.jpg,father-dau/fd_087_2.jpg,father-dau
91,2,0,father-dau/fd_072_1.jpg,father-dau/fd_029_2.jpg,father-dau
92,2,0,father-dau/fd_010_1.jpg,father-dau/fd_075_2.jpg,father-dau
93,2,0,father-dau/fd_104_1.jpg,father-dau/fd_053_2.jpg,father-dau
94,2,0,father-dau/fd_044_1.jpg,father-dau/fd_019_2.jpg,father-dau
95,2,0,father-dau/fd_104_1.jpg,father-dau/fd_087_2.jpg,father-dau
96,2,0,father-dau/fd_069_1.jpg,father-dau/fd_121_2.jpg,father-dau
97,2,0,father-dau/fd_036_1.jpg,father-dau/fd_105_2.jpg,father-dau
98,2,0,father-dau/fd_102_1.jpg,father-dau/fd_133_2.jpg,father-dau
99,2,0,father-dau/fd_044_1.jpg,father-dau/fd_019_2.jpg,father-dau
100,2,0,father-dau/fd_053_1.jpg,father-dau/fd_105_2.jpg,father-dau
101,2,0,father-dau/fd_049_1.jpg,father-dau/fd_075_2.jpg,father-dau
102,2,0,father-dau/fd_129_1.jpg,father-dau/fd_133_2.jpg,father-dau
103,2,0,father-dau/fd_112_1.jpg,father-dau/fd_104_2.jpg,father-dau
104,2,0,father-dau/fd_112_1.jpg,father-dau/fd_102_2.jpg,father-dau
105,2,0,father-dau/fd_019_1.jpg,father-dau/fd_022_2.jpg,father-dau
106,2,0,father-dau/fd_121_1.jpg,father-dau/fd_022_2.jpg,father-dau
107,2,0,father-dau/fd_053_1.jpg,father-dau/fd_016_2.jpg,father-dau
108,3,1,father-dau/fd_078_1.jpg,father-dau/fd_078_2.jpg,father-dau
109,3,1,father-dau/fd_033_1.jpg,father-dau/fd_033_2.jpg,father-dau
110,3,1,father-dau/fd_007_1.jpg,father-dau/fd_007_2.jpg,father-dau
111,3,1,father-dau/fd_115_1.jpg,father-dau/fd_115_2.jpg,father-dau
112,3,1,father-dau/fd_035_1.jpg,father-dau/fd_035_2.jpg,father-dau
113,3,1,father-dau/fd_098_1.jpg,father-dau/fd_098_2.jpg,father-dau
114,3,1,father-dau/fd_004_1.jpg,father-dau/fd_004_2.jpg,father-dau
115,3,1,father-dau/fd_061_1.jpg,father-dau/fd_061_2.jpg,father-dau
116,3,1,father-dau/fd_130_1.jpg,father-dau/fd_130_2.jpg,father-dau
117,3,1,father-dau/fd_046_1.jpg,father-dau/fd_046_2.jpg,father-dau
118,3,1,father-dau/fd_103_1.jpg,father-dau/fd_103_2.jpg,father-dau
119,3,1,father-dau/fd_083_1.jpg,father-dau/fd_083_2.jpg,father-dau
120,3,1,father-dau/fd_038_1.jpg,father-dau/fd_038_2.jpg,father-dau
121,3,1,father-dau/fd_109_1.jpg,father-dau/fd_109_2.jpg,father-dau
122,3,1,father-dau/fd_070_1.jpg,father-dau/fd_070_2.jpg,father-dau
123,3,1,father-dau/fd_054_1.jpg,father-dau/fd_054_2.jpg,father-dau
124,3,1,father-dau/fd_077_1.jpg,father-dau/fd_077_2.jpg,father-dau
125,3,1,father-dau/fd_116_1.jpg,father-dau/fd_116_2.jpg,father-dau
126,3,1,father-dau/fd_074_1.jpg,father-dau/fd_074_2.jpg,father-dau
127,3,1,father-dau/fd_107_1.jpg,father-dau/fd_107_2.jpg,father-dau
128,3,1,father-dau/fd_101_1.jpg,father-dau/fd_101_2.jpg,father-dau
129,3,1,father-dau/fd_060_1.jpg,father-dau/fd_060_2.jpg,father-dau
130,3,1,father-dau/fd_119_1.jpg,father-dau/fd_119_2.jpg,father-dau
131,3,1,father-dau/fd_028_1.jpg,father-dau/fd_028_2.jpg,father-dau
132,3,1,father-dau/fd_003_1.jpg,father-dau/fd_003_2.jpg,father-dau
133,3,1,father-dau/fd_011_1.jpg,father-dau/fd_011_2.jpg,father-dau
134,3,1,father-dau/fd_080_1.jpg,father-dau/fd_080_2.jpg,father-dau
135,3,0,father-dau/fd_080_1.jpg,father-dau/fd_060_2.jpg,father-dau
136,3,0,father-dau/fd_074_1.jpg,father-dau/fd_109_2.jpg,father-dau
137,3,0,father-dau/fd_115_1.jpg,father-dau/fd_116_2.jpg,father-dau
138,3,0,father-dau/fd_046_1.jpg,father-dau/fd_115_2.jpg,father-dau
139,3,0,father-dau/fd_054_1.jpg,father-dau/fd_119_2.jpg,father-dau
140,3,0,father-dau/fd_074_1.jpg,father-dau/fd_080_2.jpg,father-dau
141,3,0,father-dau/fd_011_1.jpg,father-dau/fd_033_2.jpg,father-dau
142,3,0,father-dau/fd_046_1.jpg,father-dau/fd_070_2.jpg,father-dau
143,3,0,father-dau/fd_061_1.jpg,father-dau/fd_077_2.jpg,father-dau
144,3,0,father-dau/fd_033_1.jpg,father-dau/fd_054_2.jpg,father-dau
145,3,0,father-dau/fd_074_1.jpg,father-dau/fd_011_2.jpg,father-dau
146,3,0,father-dau/fd_083_1.jpg,father-dau/fd_116_2.jpg,father-dau
147,3,0,father-dau/fd_060_1.jpg,father-dau/fd_007_2.jpg,father-dau
148,3,0,father-dau/fd_077_1.jpg,father-dau/fd_004_2.jpg,father-dau
149,3,0,father-dau/fd_028_1.jpg,father-dau/fd_109_2.jpg,father-dau
150,3,0,father-dau/fd_107_1.jpg,father-dau/fd_083_2.jpg,father-dau
151,3,0,father-dau/fd_011_1.jpg,father-dau/fd_033_2.jpg,father-dau
152,3,0,father-dau/fd_070_1.jpg,father-dau/fd_061_2.jpg,father-dau
153,3,0,father-dau/fd_028_1.jpg,father-dau/fd_046_2.jpg,father-dau
154,3,0,father-dau/fd_074_1.jpg,father-dau/fd_033_2.jpg,father-dau
155,3,0,father-dau/fd_046_1.jpg,father-dau/fd_109_2.jpg,father-dau
156,3,0,father-dau/fd_083_1.jpg,father-dau/fd_054_2.jpg,father-dau
157,3,0,father-dau/fd_077_1.jpg,father-dau/fd_115_2.jpg,father-dau
158,3,0,father-dau/fd_003_1.jpg,father-dau/fd_101_2.jpg,father-dau
159,3,0,father-dau/fd_074_1.jpg,father-dau/fd_098_2.jpg,father-dau
160,3,0,father-dau/fd_061_1.jpg,father-dau/fd_077_2.jpg,father-dau
161,3,0,father-dau/fd_070_1.jpg,father-dau/fd_033_2.jpg,father-dau
162,4,1,father-dau/fd_110_1.jpg,father-dau/fd_110_2.jpg,father-dau
163,4,1,father-dau/fd_132_1.jpg,father-dau/fd_132_2.jpg,father-dau
164,4,1,father-dau/fd_064_1.jpg,father-dau/fd_064_2.jpg,father-dau
165,4,1,father-dau/fd_066_1.jpg,father-dau/fd_066_2.jpg,father-dau
166,4,1,father-dau/fd_096_1.jpg,father-dau/fd_096_2.jpg,father-dau
167,4,1,father-dau/fd_040_1.jpg,father-dau/fd_040_2.jpg,father-dau
168,4,1,father-dau/fd_114_1.jpg,father-dau/fd_114_2.jpg,father-dau
169,4,1,father-dau/fd_043_1.jpg,father-dau/fd_043_2.jpg,father-dau
170,4,1,father-dau/fd_052_1.jpg,father-dau/fd_052_2.jpg,father-dau
171,4,1,father-dau/fd_079_1.jpg,father-dau/fd_079_2.jpg,father-dau
172,4,1,father-dau/fd_056_1.jpg,father-dau/fd_056_2.jpg,father-dau
173,4,1,father-dau/fd_076_1.jpg,father-dau/fd_076_2.jpg,father-dau
174,4,1,father-dau/fd_047_1.jpg,father-dau/fd_047_2.jpg,father-dau
