person,personLabel,personImage,personGender,child,childLabel,childImage,childGender
Q1484216,"John Romita, Sr.",http://commons.wikimedia.org/wiki/Special:FilePath/John%20Romita%20Sr%2C%202006.jpg,male,Q2570,John Romita Jr.,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Romita%2C%20Jr%20by%20Gage%20Skidmore.jpg,male
Q314834,Robert Vaughn,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Vaughn%20Napoleon%20Solo.JPG,male,Q2593,Matthew Vaughn,http://commons.wikimedia.org/wiki/Special:FilePath/Matthew%20Vaughn%20%2848017198166%29%20CROPPED.jpg,male
Q328667,Rajmund Kaczyński,http://commons.wikimedia.org/wiki/Special:FilePath/Rajmund%20Kaczy%C5%84ski%20h.%20Pomian.jpg,male,Q2757,Lech Kaczyński,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,male
Q3266318,Jadwiga Kaczyńska,http://commons.wikimedia.org/wiki/Special:FilePath/Benedict%20XVI%20Poland%207.jpg,female,Q2757,Lech Kaczyński,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,male
Q3266318,Jadwiga Kaczyńska,http://commons.wikimedia.org/wiki/Special:FilePath/Jadwiga%20Kaczy%C5%84ska%20mal.Zbigniew%20Koty%C5%82%C5%82o.jpg,female,Q2757,Lech Kaczyński,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,male
Q238402,Katherine Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Katherine%20Jackson42654.jpg,female,Q2831,Michael Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20in%201988.jpg,male
Q361297,Joe Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Jackson%20Cannes%202014.jpg,male,Q2831,Michael Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20in%201988.jpg,male
Q16492,Mary Lee Woods,http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Lee%20Berners-Lee%20%28n%C3%A9e%20Woods%29.png,female,Q80,Tim Berners-Lee,http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Tim%20Berners-Lee%20%28cropped%29.jpg,male
Q5166696,Conway Berners-Lee,http://commons.wikimedia.org/wiki/Special:FilePath/ConwayBerners-Lee1991.jpg,male,Q80,Tim Berners-Lee,http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Tim%20Berners-Lee%20%28cropped%29.jpg,male
Q23505,George H. W. Bush,http://commons.wikimedia.org/wiki/Special:FilePath/George%20H.%20W.%20Bush%20presidential%20portrait%20%28cropped%29.jpg,male,Q207,George W. Bush,http://commons.wikimedia.org/wiki/Special:FilePath/George-W-Bush.jpeg,male
Q190628,Barbara Bush,http://commons.wikimedia.org/wiki/Special:FilePath/Barbara%20Bush%201991.jpg,female,Q207,George W. Bush,http://commons.wikimedia.org/wiki/Special:FilePath/George-W-Bush.jpeg,male
Q1649494,Alberto Bachelet,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Bachelet.jpg,male,Q320,Michelle Bachelet,http://commons.wikimedia.org/wiki/Special:FilePath/Michelle%20Bachelet%2C%202020%201.1%20%28cropped%29.jpg,female
Q6173642,Ángela Jeria,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%81ngela%20Jeria.jpg,female,Q320,Michelle Bachelet,http://commons.wikimedia.org/wiki/Special:FilePath/Michelle%20Bachelet%2C%202020%201.1%20%28cropped%29.jpg,female
Q475,Eduardo Frei Montalva,http://commons.wikimedia.org/wiki/Special:FilePath/FreiMontalva.jpg,male,Q326,Eduardo Frei Ruiz-Tagle,http://commons.wikimedia.org/wiki/Special:FilePath/Eduardo%20Frei%20Chiledebate.jpg,male
Q5695438,María Ruiz-Tagle,http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Ruiz-Tagle.jpg,female,Q326,Eduardo Frei Ruiz-Tagle,http://commons.wikimedia.org/wiki/Special:FilePath/Eduardo%20Frei%20Chiledebate.jpg,male
Q3898147,Paul Sarkozy,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%20Sarkozy%2020100328%20Salon%20du%20livre%20de%20Paris%202b.jpg,male,Q329,Nicolas Sarkozy,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Sarkozy%20in%202010.jpg,male
Q21198370,Christine Assange,http://commons.wikimedia.org/wiki/Special:FilePath/Christiane%20Assange%2C%20madre%20de%20Julian%20Assange%2C%20se%20entrevista%20con%20el%20Canciller%20Ricardo%20Pati%C3%B1o%20%287679237690%29.jpg,female,Q360,Julian Assange,http://commons.wikimedia.org/wiki/Special:FilePath/RUEDA%20DE%20PRENSA%20CONJUNTA%20ENTRE%20CANCILLER%20RICARDO%20PATI%C3%91O%20Y%20JULIAN%20ASSANGE%20%28cropped%29.jpg,male
Q470313,Cedella Booker,http://commons.wikimedia.org/wiki/Special:FilePath/Cedella%20Booker%20in%20Kingston%2C%20JA.jpg,female,Q409,Bob Marley,http://commons.wikimedia.org/wiki/Special:FilePath/Bob%20Marley%201976%20press%20photo.jpg,male
Q1480,Corazon Aquino,http://commons.wikimedia.org/wiki/Special:FilePath/Corazon%20Aquino%201986.jpg,female,Q1464,Benigno Aquino III,http://commons.wikimedia.org/wiki/Special:FilePath/Noynoy%20Aquino.jpg,male
