person1,person2,relationship,family
Q1484216,Q2570,parent - child,2681
Q314834,Q2593,parent - child,4026
Q3266318,Q2757,parent - child,4479
Q328667,Q2757,parent - child,4479
Q238402,Q2831,parent - child,542
Q361297,Q2831,parent - child,542
Q16492,Q80,parent - child,519
Q5166696,Q80,parent - child,519
Q23505,Q207,parent - child,680
Q4100648,Q207,grandparent - child,680
Q190628,Q207,parent - child,680
Q6173642,Q320,parent - child,438
Q1649494,Q320,parent - child,438
Q475,Q326,parent - child,2332
Q5695438,Q326,parent - child,2332
Q3898147,Q329,parent - child,786
Q21198370,Q360,parent - child,5467
Q470313,Q409,parent - child,148
Q222805,Q1464,parent - child,2874
Q1480,Q1464,parent - child,2874
Q777997,Q853,parent - child,1638
Q2582389,Q927,parent - child,428
Q105529920,Q1058,parent - child,2567
Q4112334,Q1124,parent - child,2239
Q3646297,Q1203,parent - child,862
Q7496354,Q1784,parent - child,5420
Q49463421,Q2072,parent - child,6254
Q12973,Q12976,parent - child,87
Q230238,Q12976,parent - child,87
Q6761976,Q13133,parent - child,5356
Q167520,Q13909,parent - child,2207
Q51535,Q14441,parent - child,908
Q11637,Q14441,parent - child,908
Q17499761,Q15031,parent - child,4339
Q301282,Q15031,parent - child,4339
Q4902971,Q11901,parent - child,962
Q2636085,Q11901,grandparent - child,962
Q1747204,Q11901,parent - child,962
Q12085,Q12105,parent - child,1149
Q1985246,Q12498,parent - child,2134
Q923742,Q12823,parent - child,1048
Q23908557,Q12823,parent - child,1048
Q7109912,Q12878,parent - child,3820
Q2502098,Q12897,parent - child,2722
Q7177,Q12927,parent - child,2330
Q3082008,Q12931,parent - child,1676
Q15980250,Q15897,parent - child,5666
Q60633179,Q15935,parent - child,4216
Q15988,Q16004,parent - child,87
Q160984,Q16004,parent - child,87
Q12973,Q16004,grandparent - child,87
Q230238,Q16004,grandparent - child,87
Q712093,Q16397,parent - child,2972
Q23034463,Q16397,parent - child,2972
Q350761,Q17493,parent - child,3421
Q3369827,Q18301,parent - child,3399
Q3435778,Q40715,parent - child,5043
Q7942260,Q40890,parent - child,5029
Q19155,Q41142,parent - child,1782
Q10961701,Q41142,parent - child,1782
Q315051,Q41396,parent - child,719
Q1393716,Q29176,parent - child,5505
Q57304,Q29574,parent - child,171
Q154946,Q29574,parent - child,171
Q336222,Q24356,parent - child,542
Q238402,Q24356,grandparent - child,542
Q361297,Q24356,grandparent - child,542
Q178237,Q24591,parent - child,5817
Q1332856,Q25369,parent - child,4130
Q535976,Q26233,parent - child,5975
Q484288,Q27350,parent - child,4524
Q374960,Q27677,parent - child,451
Q183532,Q28170,parent - child,637
Q104266,Q28170,parent - child,637
Q718691,Q28755,parent - child,3035
Q4818309,Q3772,parent - child,5461
Q3925,Q3910,parent - child,2123
Q185025,Q3910,parent - child,2123
Q12973,Q3911,parent - child,87
Q230238,Q3911,parent - child,87
Q356261,Q4223,parent - child,5109
Q7561735,Q4223,parent - child,5109
Q231259,Q4235,parent - child,1440
Q155385,Q4414,parent - child,1623
Q519985,Q4461,parent - child,4828
Q710739,Q4461,parent - child,4828
Q4983802,Q4488,parent - child,3702
Q3247018,Q4496,parent - child,1881
Q520275,Q4496,parent - child,1881
Q1818635,Q4505,parent - child,434
Q554175,Q4593,parent - child,1546
Q1149,Q4593,parent - child,1546
Q1176300,Q4617,parent - child,742
Q684014,Q5284,parent - child,4111
Q5368,Q5370,parent - child,3558
Q758132,Q53009,parent - child,1578
Q3849223,Q53046,parent - child,3383
Q2086841,Q53120,parent - child,1257
Q191375,Q52183,parent - child,376
Q18988084,Q52183,parent - child,376
Q461633,Q41533,parent - child,3660
Q5623170,Q42455,parent - child,1001
Q344997,Q42598,parent - child,247
Q9682,Q43274,parent - child,502
Q80976,Q43274,parent - child,502
Q291721,Q43330,parent - child,5141
Q1919736,Q18802,parent - child,1472
Q3108674,Q18947,parent - child,1967
Q348209,Q18953,parent - child,419
Q311171,Q18982,parent - child,371
Q577160,Q19673,parent - child,2625
Q235128,Q19943,parent - child,697
Q313857,Q19943,parent - child,697
Q553682,Q21822,parent - child,1138
Q6196159,Q22237,parent - child,5033
Q1946678,Q22338,parent - child,351
Q448813,Q22360,parent - child,424
Q3752663,Q22686,parent - child,1187
Q102479,Q22939,parent - child,4568
Q1139435,Q23466,parent - child,2960
Q5623885,Q23466,parent - child,2960
Q3617943,Q23466,grandparent - child,2960
Q4100648,Q23505,parent - child,680
Q102259740,Q23547,parent - child,6121
Q3138805,Q23844,parent - child,5935
Q16219166,Q23858,parent - child,1215
Q16219163,Q23858,parent - child,1215
Q932181,Q24053,parent - child,5728
Q6381789,Q24159,parent - child,1337
Q24049012,Q24159,parent - child,1337
Q10861998,Q5809,parent - child,2717
Q2273636,Q6107,parent - child,2465
Q3394760,Q6107,parent - child,2465
Q5298463,Q6294,parent - child,2239
Q65705909,Q7327,parent - child,941
Q1110336,Q8027,parent - child,2420
Q11588,Q7526,parent - child,5936
Q5549108,Q7526,parent - child,5936
Q3194740,Q7536,parent - child,6209
Q611891,Q7539,parent - child,4162
Q1151149,Q43558,parent - child,1608
Q818507,Q43723,parent - child,1017
Q565947,Q43754,parent - child,1479
Q27670296,Q44040,parent - child,1908
Q2399793,Q44144,parent - child,5948
Q1283268,Q44221,parent - child,2588
Q438537,Q44221,parent - child,2588
Q464313,Q44301,parent - child,3028
Q118725,Q44329,parent - child,1137
Q12180950,Q44329,parent - child,1137
Q708554,Q44430,parent - child,885
Q529384,Q44449,parent - child,3641
Q725400,Q44449,grandparent - child,3641
