person1,person2,image1,image2,relationship,family
Q1484216,Q2570,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Romita%20Sr%2C%202006.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Romita%2C%20Jr%20by%20Gage%20Skidmore.jpg,parent - child,2681
Q314834,Q2593,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Vaughn%20Napoleon%20Solo.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Matthew%20Vaughn%20%2848017198166%29%20CROPPED.jpg,parent - child,4026
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Benedict%20XVI%20Poland%207.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Benedict%20XVI%20Poland%207.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Benedict%20XVI%20Poland%207.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Jadwiga%20Kaczy%C5%84ska%20mal.Zbigniew%20Koty%C5%82%C5%82o.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Jadwiga%20Kaczy%C5%84ska%20mal.Zbigniew%20Koty%C5%82%C5%82o.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Jadwiga%20Kaczy%C5%84ska%20mal.Zbigniew%20Koty%C5%82%C5%82o.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Benedict%20XVI%20Poland%207.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Benedict%20XVI%20Poland%207.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Benedict%20XVI%20Poland%207.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Jadwiga%20Kaczy%C5%84ska%20mal.Zbigniew%20Koty%C5%82%C5%82o.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Jadwiga%20Kaczy%C5%84ska%20mal.Zbigniew%20Koty%C5%82%C5%82o.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q3266318,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Jadwiga%20Kaczy%C5%84ska%20mal.Zbigniew%20Koty%C5%82%C5%82o.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q328667,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Rajmund%20Kaczy%C5%84ski%20h.%20Pomian.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q328667,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Rajmund%20Kaczy%C5%84ski%20h.%20Pomian.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q328667,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Rajmund%20Kaczy%C5%84ski%20h.%20Pomian.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q328667,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Rajmund%20Kaczy%C5%84ski%20h.%20Pomian.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q328667,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Rajmund%20Kaczy%C5%84ski%20h.%20Pomian.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q328667,Q2757,http://commons.wikimedia.org/wiki/Special:FilePath/Rajmund%20Kaczy%C5%84ski%20h.%20Pomian.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Kaczy%C5%84ski.jpg,parent - child,4479
Q238402,Q2831,http://commons.wikimedia.org/wiki/Special:FilePath/Katherine%20Jackson42654.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20in%201988.jpg,parent - child,542
Q238402,Q2831,http://commons.wikimedia.org/wiki/Special:FilePath/Katherine%20Jackson42654.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20in%201988.jpg,parent - child,542
Q238402,Q2831,http://commons.wikimedia.org/wiki/Special:FilePath/Katherine%20Jackson42654.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20in%201988.jpg,parent - child,542
