,subset
F0696,train
F0765,train
F0192,val
F0767,test
F0234,train
F0795,val
F0338,train
F0372,train
F0743,test
F0727,train
F0340,train
F0526,train
F0968,train
F0069,train
F0501,train
F0118,test
F0269,train
F0144,test
F0788,train
F0274,train
F0579,train
F0301,train
F0001,train
F0102,train
F0661,train
F0942,train
F0150,train
F0210,train
F0559,val
F0972,test
F0239,val
F0556,val
F0896,test
F0691,test
F0010,train
F0130,train
F0991,val
F0059,train
F0503,train
F0825,val
F0242,train
F0215,train
F0302,train
F0464,val
F0770,test
F0337,train
F0549,test
F0191,train
F0353,train
F0428,train
F0432,train
F0021,test
F0267,train
F0688,train
F0798,train
F0806,val
F0535,train
F0711,train
F0196,train
F0029,train
F0039,val
F0658,train
F0590,train
F0280,train
F0279,train
F0542,train
F0174,train
F0678,val
F0580,train
F0965,train
F0957,train
F0515,train
F0375,val
F0449,train
F0591,train
F0602,train
F0684,test
F0961,train
F0308,train
F0704,train
F0180,train
F0759,train
F0459,train
F0979,train
F0723,train
F0168,train
F0730,train
F0834,val
F0588,val
F0540,train
F0299,train
F0032,train
F0954,test
F0682,train
F0368,train
F0929,val
F0011,val
F0945,train
F0350,train
F0783,train
F0357,train
F0506,train
F0141,train
F0997,test
F0523,train
F0892,val
F0639,val
F0117,test
F0926,test
F0889,test
F0447,train
F0790,train
F0623,train
F1017,val
F0843,test
F0235,train
F0774,train
F0120,train
F0300,test
F0964,val
F0635,train
F0173,val
F0980,train
F0734,train
F0264,test
F0411,train
F0956,val
F0013,train
F0881,train
F0412,val
F0379,train
F0293,test
F0888,val
F0760,train
F0202,train
F0081,train
F0641,train
F0315,test
F0378,train
F0355,test
F0042,val
F0720,train
F0595,train
F0084,train
F0389,val
F0861,train
F0227,train
F0622,train
F0286,val
F0631,val
F0419,val
F0949,train
F0038,train
F0451,train
F0884,train
F0810,test
F0811,train
F0847,test
F0937,val
F0894,test
F0295,val
F0393,test
F0178,train
F0024,train
F0157,train
F0741,train
F0296,train
F0284,train
F0104,train
F0251,test
F0418,test
F0166,test
F0615,train
F0270,train
F0890,train
F0401,train
F0740,val
F0115,train
F0061,train
F0947,train
F0460,train
F0773,test
F0989,train
F0089,test
F0403,train
F0080,test
F0844,test
F0852,train
F1016,train
F0539,test
F0680,val
F0967,val
F0434,train
F0319,train
F0532,train
F0188,train
F0714,train
F0746,train
F0214,train
F0683,val
F0402,test
F0701,train
F0933,train
F0976,train
F0883,train
F0216,test
F0779,train
F0874,test
F0747,train
F0272,test
F0670,train
F0973,train
F0659,train
F0537,train
F0651,train
F0592,val
F0600,train
F0517,train
F0899,train
F0050,train
F0604,val
F0764,val
F0814,train
F0260,train
F0009,train
F0838,test
F0101,train
F0212,train
F0127,train
F0748,train
F0186,train
F0394,train
F0496,train
F0624,train
F0376,train
F0111,val
F0339,train
F0229,test
F0848,train
F0489,train
F0253,train
F0585,val
F0642,train
F0453,test
F0132,val
F0268,train
F0653,train
F0018,train
F0863,val
F0362,train
F0971,train
F0303,train
F0197,train
F0969,train
F0254,test
F0901,train
F0817,train
F0305,train
F0128,val
F0482,train
F0935,train
F0048,val
F1013,train
F0047,train
F0645,test
F0477,train
F0131,train
F0365,train
F0636,train
F0291,train
F0781,train
F0213,val
F0125,train
F0145,val
F0733,train
F0046,val
F0298,train
F0694,val
F0906,train
F0932,train
F0915,train
F0425,test
F0194,train
F0486,val
F0886,train
F0247,train
F0672,train
F0695,train
F0782,train
F0918,train
F0066,val
F0551,train
F0582,train
F0181,test
F0288,val
F0015,train
F0262,train
F0993,val
F0016,train
F0107,train
F0851,train
F0289,train
F0904,train
F0686,val
F0629,val
F0052,train
F0004,train
F0963,train
F0650,val
F0822,train
F0088,train
F0662,test
F0124,train
F0002,val
F0857,train
F0518,train
F0868,train
F0974,val
F0321,train
F0598,train
F0978,train
F0473,train
F0611,test
F0610,train
F0818,train
F0097,test
F0077,val
F0079,val
F0382,val
F0850,test
F0812,train
F0951,test
F0715,train
F0035,train
F0778,test
F0708,test
F0946,train
F0998,train
F0664,train
F0987,train
F0685,train
F0565,test
F0294,val
F0571,test
F0364,train
F0840,train
F0566,train
F0922,train
F0865,train
F0816,train
F0361,train
F0673,val
F0959,test
F0051,val
F0439,test
F0054,test
F0941,train
F0045,train
F1001,train
F0314,train
F0105,train
F0392,train
F0738,train
F0023,test
F0424,train
F0206,train
F0096,train
F0465,train
F0098,test
F0020,train
F0179,train
F0552,val
F0416,train
F0789,train
F0911,train
F0036,train
F0898,train
F0992,train
F0070,val
F0749,train
F0437,train
F0875,test
F0944,test
F0718,train
F0569,train
F0190,train
F0891,train
F0076,train
F0739,train
F0232,train
F0887,train
F0717,train
F0607,train
F0138,train
F0273,test
F0322,test
F0771,train
F0086,train
F0252,test
F0116,train
F0960,test
F0062,train
F0561,train
F0445,val
F0142,train
F0225,train
F0637,train
F1002,train
F0136,train
F0690,val
F0064,train
F0388,train
F0195,val
F0545,val
F0163,train
F0808,train
F0613,train
F0928,train
F0804,train
F0187,train
F0589,train
F0171,train
F0885,train
F0761,train
F0444,train
F0801,val
F0221,train
F0153,train
F0605,test
F0413,train
F0763,train
F0527,train
F0380,test
F0521,train
F0583,test
F0257,train
F0647,train
F0856,train
F0184,train
F0618,train
F0387,test
F0612,train
F0576,train
F0677,train
F0687,train
F0625,val
F0880,train
F0882,train
F0325,train
F0544,train
F0745,train
F0005,train
F0237,train
F1018,val
F0829,val
F0948,train
F0152,train
F0263,train
